species,baseline,pilot,pilot_nbrd,gbif.matched_name,gbif.classification_path,gbif.classification_path_ranks,gbif.classification_path_ids,gbif.taxon_id,gbif.score
Punctum pygmaeum,NA,Y,NA,"Punctum pygmaeum (Draparnaud, 1801)",Animalia|Mollusca|Gastropoda|Stylommatophora|Punctidae|Punctum|Punctum pygmaeum,kingdom|phylum|class|order|family|genus|species,1|52|225|1456|9428|4304732|4568278,4568278,0.988
Radix auricularia,NA,Y,Y,"Radix auricularia (Linnaeus, 1758)",Animalia|Mollusca|Gastropoda|Lymnaeidae|Radix|Radix auricularia,kingdom|phylum|class|family|genus|species,1|52|225|2852|2291289|5189888,5189888,0.988
Radix balthica,NA,Y,Y,"Radix balthica (Linnaeus, 1758)",Animalia|Mollusca|Gastropoda|Lymnaeidae|Ampullaceana|Ampullaceana balthica,kingdom|phylum|class|family|genus|species,1|52|225|2852|4606565|9991201,5724457,0.988
Ranunculus circinatus,Y,Y,NA,Ranunculus circinatus Sibth.,Plantae|Tracheophyta|Magnoliopsida|Ranunculales|Ranunculaceae|Ranunculus|Ranunculus circinatus,kingdom|phylum|class|order|family|genus|species,6|7707728|220|399|2410|3033294|3033382,3033382,0.988
Ranunculus sardous,NA,Y,Y,Ranunculus sardous Crantz,Plantae|Tracheophyta|Magnoliopsida|Ranunculales|Ranunculaceae|Ranunculus|Ranunculus sardous,kingdom|phylum|class|order|family|genus|species,6|7707728|220|399|2410|3033294|3033483,3033483,0.988
Ranunculus sceleratus,Y,NA,NA,Ranunculus sceleratus L.,Plantae|Tracheophyta|Magnoliopsida|Ranunculales|Ranunculaceae|Ranunculus|Ranunculus sceleratus,kingdom|phylum|class|order|family|genus|species,6|7707728|220|399|2410|3033294|3033374,3033374,0.988
Ranunculus scleratus,NA,Y,Y,Ranunculus scleratus L.,Plantae|Tracheophyta|Magnoliopsida|Ranunculales|Ranunculaceae|Ranunculus|Ranunculus scleratus,kingdom|phylum|class|order|family|genus|species,6|7707728|220|399|2410|3033294|9065081,9065081,0.988
Ranunculus sp,NA,Y,Y,Ranunculus L.,Plantae|Tracheophyta|Magnoliopsida|Ranunculales|Ranunculaceae|Ranunculus,kingdom|phylum|class|order|family|genus,6|7707728|220|399|2410|3033294,3033294,0.75
Ribes rubrum,NA,Y,NA,Ribes rubrum L.,Plantae|Tracheophyta|Magnoliopsida|Saxifragales|Grossulariaceae|Ribes|Ribes rubrum,kingdom|phylum|class|order|family|genus|species,6|7707728|220|7219248|2403|2986095|2986097,2986097,0.988
Rorippa nasturtium-aquaticum,Y,Y,Y,Rorippa nasturtium-aquaticum Schinz & Thell.,Plantae|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Rorippa|Rorippa nasturtium-aquaticum,kingdom|phylum|class|order|family|genus|species,6|7707728|220|7225535|3112|3053118|7572471,7572471,0.988
Rubus fruticosus agg,NA,Y,NA,Rubus fruticosus Hegetschw.,Plantae|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Rubus|Rubus fruticosus,kingdom|phylum|class|order|family|genus|species,6|7707728|220|691|5015|2988638|7447680,7447680,0.988
Rumex conglomeratus,NA,Y,Y,Rumex conglomeratus Murray,Plantae|Tracheophyta|Magnoliopsida|Caryophyllales|Polygonaceae|Rumex|Rumex conglomeratus,kingdom|phylum|class|order|family|genus|species,6|7707728|220|422|2416|2888942|2888963,2888963,0.988
Rumex hydrolapathum,Y,Y,Y,Rumex hydrolapathum Huds.,Plantae|Tracheophyta|Magnoliopsida|Caryophyllales|Polygonaceae|Rumex|Rumex hydrolapathum,kingdom|phylum|class|order|family|genus|species,6|7707728|220|422|2416|2888942|7291247,7291247,0.988
Salix sp,NA,Y,Y,Salix L.,Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Salicaceae|Salix,kingdom|phylum|class|order|family|genus,6|7707728|220|1414|6664|3039576,3039576,0.75
Samolus valerandi,Y,Y,Y,Samolus valerandi L.,Plantae|Tracheophyta|Magnoliopsida|Ericales|Primulaceae|Samolus|Samolus valerandi,kingdom|phylum|class|order|family|genus|species,6|7707728|220|1353|6674|3169310|3169313,3169313,0.988
Scirpus lacustris,Y,NA,NA,Scirpus lacustris L.,Plantae|Tracheophyta|Liliopsida|Poales|Cyperaceae|Schoenoplectus|Schoenoplectus lacustris,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|7708|2710907|2710941,7553098,0.988
Scrophularia aquatica,Y,NA,NA,Scrophularia aquatica L.,Plantae|Tracheophyta|Magnoliopsida|Lamiales|Scrophulariaceae|Scrophularia|Scrophularia umbrosa,kingdom|phylum|class|order|family|genus|species,6|7707728|220|408|2390|3170861|3170866,3170867,0.988
Segmentina nitida,NA,Y,Y,"Segmentina nitida (O.F.Müller, 1774)",Animalia|Mollusca|Gastropoda|Planorbidae|Segmentina|Segmentina nitida,kingdom|phylum|class|family|genus|species,1|52|225|2851|2290953|4562139,4562139,0.988
Silaum silaus,NA,Y,Y,Silaum silaus Schinz & Thell.,Plantae|Tracheophyta|Magnoliopsida|Apiales|Apiaceae|Silaum|Silaum silaus,kingdom|phylum|class|order|family|genus|species,6|7707728|220|1351|6720|6027385|6027388,6027388,0.988
