ECN_CODE,PLNTT_CODE_SHORT,PLNTT_CODE,BRC_CODE_short,BRC_CODE,BRC_CONCEPT,NBN,ECN_name_plus_extras,BRC_NAME,PLABRYATT_VTA.NAME,DESC_ABBR,GROWTH_STAGE,PHYLUM,TX_LV_ECN,TX_LV_BRC_PLNTT,PLANT_TYPE,Tjan,Tjul,Prec,E1,E2,L,F,R,N,S,HM,Ord,FamA,VTR.Taxon.name,Competitor,Ruderal,Stress.Tolerant,BRC.V.PLNATT,match.comment,gbif.matched_name,gbif.classification_path,gbif.classification_path_ranks,gbif.classification_path_ids,gbif.taxon_id,gbif.score
2631,0920_1788,0920  1788,0920_1788,902 1788,Vas_1788,,Salix caprea (g),Salix caprea,Salix caprea,sali capre (g),(g),vascular,spp,spp,,3.389013852,14.60457784,1080.046177,5,5,7,7,7,7,0,NA,Malp,Sali,Salix caprea,3,0,1,match,,Salix caprea L.,Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Salicaceae|Salix|Salix caprea,kingdom|phylum|class|order|family|genus|species,6|7707728|220|1414|6664|3039576|5372952,5372952,0.988
4305,0920_1789,0920  1789,0920_1789,902 1789,Vas_1789,,Salix cinerea (c),Salix cinerea,Salix cinerea,,(c),vascular,spp,spp,,3.532563884,14.53902612,1095.896224,5,4,7,8,6,5,0,NA,Malp,Sali,Salix cinerea,3,0,1,match,,Salix cinerea L.,Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Salicaceae|Salix|Salix cinerea,kingdom|phylum|class|order|family|genus|species,6|7707728|220|1414|6664|3039576|5372605,5372605,0.988
2729,0920_1789,0920  1789,0920_1789,902 1789,Vas_1789,,Salix cinerea (g),Salix cinerea,Salix cinerea,,(g),vascular,spp,spp,,3.532563884,14.53902612,1095.896224,5,4,7,8,6,5,0,NA,Malp,Sali,Salix cinerea,3,0,1,match,,Salix cinerea L.,Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Salicaceae|Salix|Salix cinerea,kingdom|phylum|class|order|family|genus|species,6|7707728|220|1414|6664|3039576|5372605,5372605,0.988
1169,0920_1789,0920  1789,0920_1789,902 1789,Vas_1789,,Salix cinerea (s),Salix cinerea,Salix cinerea,,(s),vascular,spp,spp,,3.532563884,14.53902612,1095.896224,5,4,7,8,6,5,0,NA,Malp,Sali,Salix cinerea,3,0,1,match,,Salix cinerea L.,Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Salicaceae|Salix|Salix cinerea,kingdom|phylum|class|order|family|genus|species,6|7707728|220|1414|6664|3039576|5372605,5372605,0.988
2699,0920_1789,0920  1789,0920_1786,902 1786,Vas_1786,,Salix cinerea ssp oleifolia (s),Salix cinerea subsp. oleifolia,Salix cinerea,,(s),vascular,subsp,spp,,3.532563884,14.53902612,1095.896224,5,4,7,8,6,5,0,NA,Malp,Sali,Salix cinerea,3,0,1,resolved,matched to spp not subsp,Salix cinerea L.,Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Salicaceae|Salix|Salix cinerea,kingdom|phylum|class|order|family|genus|species,6|7707728|220|1414|6664|3039576|5372605,5372605,0.988
2742,0920_1789,0920  1789,0920_1786,902 1786,Vas_1786,,Salix cinerea ssp oleifolia(c),Salix cinerea subsp. oleifolia,Salix cinerea,,(c),vascular,subsp,spp,,3.532563884,14.53902612,1095.896224,5,4,7,8,6,5,0,NA,Malp,Sali,Salix cinerea,3,0,1,resolved,matched to spp not subsp,Salix cinerea L.,Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Salicaceae|Salix|Salix cinerea,kingdom|phylum|class|order|family|genus|species,6|7707728|220|1414|6664|3039576|5372605,5372605,0.988
3131,0920_1801,0920  1801,0920_1801,902 1801,Vas_1801,,Salix purpurea (g),Salix purpurea,Salix purpurea,,(g),vascular,spp,spp,,3.425194144,14.81570337,984.0685933,7,4,8,9,7,5,0,NA,Malp,Sali,Salix purpurea,3,0,1,match,,Salix purpurea L.,Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Salicaceae|Salix|Salix purpurea,kingdom|phylum|class|order|family|genus|species,6|7707728|220|1414|6664|3039576|5372800,5372800,0.988
1179,0920_1802,0920  1802,0920_1802,902 1802,Vas_1802,,Salix repens agg.,Salix repens,Salix repens,,,vascular,spp,spp,,3.450168919,14.03071429,1204.935424,5,4,8,7,6,3,0,NA,Malp,Sali,Salix repens,2,0,2,match,,Salix repens L.,Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Salicaceae|Salix|Salix repens,kingdom|phylum|class|order|family|genus|species,6|7707728|220|1414|6664|3039576|9148812,9148812,0.988
1185,0920_1812,0920  1812,,,,,Salvia verbenaca,,Salvia verbenaca,,,vascular,spp,spp,,4.111614173,16.0876378,747.7271457,9,1,8,3,7,2,0,NA,Lami,Lami,Salvia verbenaca,NA,NA,NA,match,,Salvia verbenaca L.,Plantae|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Salvia|Salvia verbenaca,kingdom|phylum|class|order|family|genus|species,6|7707728|220|408|2497|2926981|6409706,6409706,0.988
2633,0920_1815,0920  1815,0920_1815,902 1815,Vas_1815,,Sambucus nigra (g),Sambucus nigra,Sambucus nigra,,(g),vascular,spp,spp,,3.623968537,14.68517958,1060.51839,7,3,6,5,7,7,0,NA,Dips,Capr,Sambucus nigra,4,0,0,match,,Sambucus nigra L.,Plantae|Tracheophyta|Magnoliopsida|Dipsacales|Adoxaceae|Sambucus|Sambucus nigra,kingdom|phylum|class|order|family|genus|species,6|7707728|220|946|2510|2888721|2888728,2888728,0.988
1187,0920_1815,0920  1815,0920_1815,902 1815,Vas_1815,,Sambucus nigra (s),Sambucus nigra,Sambucus nigra,samb nigra (s),(s),vascular,spp,spp,,3.623968537,14.68517958,1060.51839,7,3,6,5,7,7,0,NA,Dips,Capr,Sambucus nigra,4,0,0,match,,Sambucus nigra L.,Plantae|Tracheophyta|Magnoliopsida|Dipsacales|Adoxaceae|Sambucus|Sambucus nigra,kingdom|phylum|class|order|family|genus|species,6|7707728|220|946|2510|2888721|2888728,2888728,0.988
1189,0920_1817,0920  1817,,,,,Samolus valerandi,,Samolus valerandi,,,vascular,spp,spp,,4.307850318,15.12019108,1012.539303,8,6,8,8,8,5,2,NA,Eric,Prim,Samolus valerandi,0.6,1.7,1.7,match,,Samolus valerandi L.,Plantae|Tracheophyta|Magnoliopsida|Ericales|Primulaceae|Samolus|Samolus valerandi,kingdom|phylum|class|order|family|genus|species,6|7707728|220|1353|6674|3169310|3169313,3169313,0.988
1053,0920_5442,0920  5442,0920_5442,902 5442,Vas_5442,,Sanguisorba minor,Sanguisorba minor,Sanguisorba minor,sang minor,,vascular,spp,spp,,3.700911197,15.5619305,844.4100521,8,4,7,4,8,3,0,NA,Rosa,Rosa,Sanguisorba minor,0.675,0.675,2.65,match,,Sanguisorba minor Bertol.,Plantae|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Sanguisorba|Sanguisorba minor,kingdom|phylum|class|order|family|genus|species,6|7707728|220|691|5015|3029383|7817383,7817383,0.988
1190,0920_1818,0920  1818,0920_1818,902 1818,Vas_1818,,Sanguisorba officinalis,Sanguisorba officinalis,Sanguisorba officinalis,,,vascular,spp,spp,,3.245763598,15.1341318,937.9474817,5,6,7,7,6,5,0,NA,Rosa,Rosa,Sanguisorba officinalis,2.65,0.675,0.675,match,,Sanguisorba officinalis L.,Plantae|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Sanguisorba|Sanguisorba officinalis,kingdom|phylum|class|order|family|genus|species,6|7707728|220|691|5015|3029383|3029627,3029627,0.988
1191,0920_1819,0920  1819,0920_1819,902 1819,Vas_1819,,Sanicula europaea,Sanicula europaea,Sanicula europaea,,,vascular,spp,spp,,3.545408048,14.68680707,1089.815889,7,3,4,5,7,5,0,NA,Apia,Apia,Sanicula europaea,0.675,0.675,2.65,match,,Sanicula europaea L.,Plantae|Tracheophyta|Magnoliopsida|Apiales|Apiaceae|Sanicula|Sanicula europaea,kingdom|phylum|class|order|family|genus|species,6|7707728|220|1351|6720|3034831|6027128,6027128,0.988
3225,0920_1777,0920  1777,,,,,Arthrocnemum perenne,,Sarcocornia perennis,,,vascular,spp,spp,,4.404470588,16.40176471,702.4831765,9,1,9,8,8,6,6,NA,Cary,Amar,Sarcocornia perennis,NA,NA,NA,match,,Sarcocornia perennis (Miller) A.J.Scott A.J.Scott (Miller),Plantae|Tracheophyta|Magnoliopsida|Caryophyllales|Amaranthaceae|Salicornia|Salicornia perennis,kingdom|phylum|class|order|family|genus|species,6|7707728|220|422|3064|3083796|5383932,3083615,0.988
1203,0920_1842,0920  1842,0920_1842,902 1842,Vas_1842,,Saxifraga stellaris,Saxifraga stellaris,Saxifraga stellaris,,,vascular,spp,spp,,1.788363273,12.32473054,1811.47232,1,3,8,8,5,3,0,NA,Saxi,Saxi,Saxifraga stellaris,NA,NA,NA,match,,Saxifraga stellaris L.,Plantae|Tracheophyta|Magnoliopsida|Saxifragales|Saxifragaceae|Micranthes|Micranthes stellaris|Micranthes stellaris stellaris,kingdom|phylum|class|order|family|genus|species|subspecies,6|7707728|220|7219248|2402|6447095|5567578|9443922,3032808,0.988
1205,0920_1846,0920  1846,0920_1846,902 1846,Vas_1846,,Scabiosa columbaria,Scabiosa columbaria,Scabiosa columbaria,scab colum,,vascular,spp,spp,,3.474017522,15.5624781,830.7266114,7,3,8,3,8,2,0,NA,Dips,Dips,Scabiosa columbaria,0,1,3,match,,Scabiosa columbaria L.,Plantae|Tracheophyta|Magnoliopsida|Dipsacales|Caprifoliaceae|Scabiosa|Scabiosa columbaria,kingdom|phylum|class|order|family|genus|species,6|7707728|220|946|6710|2888800|2888802,2888802,0.988
1207,0920_1855,0920  1855,,,,,Schoenus nigricans,,Schoenus nigricans,,,vascular,spp,spp,sedge,3.872526231,13.92841001,1261.046998,8,4,8,8,7,2,0,NA,Poal,Cype,Schoenus nigricans,1,0,3,match,,Schoenus nigricans L.,Plantae|Tracheophyta|Liliopsida|Poales|Cyperaceae|Schoenus|Schoenus nigricans,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|7708|2693232|2709923,2709923,0.988
3103,0920_1856,0920  1856,,,,,Scilla autumnalis,,Scilla autumnalis,,,vascular,spp,spp,,5.858965517,16.23017241,939.3222414,9,1,9,3,6,1,0,NA,Aspa,Hyac,Scilla autumnalis,NA,NA,NA,match,,Scilla autumnalis L.,Plantae|Tracheophyta|Liliopsida|Asparagales|Asparagaceae|Prospero|Prospero autumnale,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1169|7683|2768058|2767189,2767178,0.988
1208,0920_1857,0920  1857,,,,,Scilla verna,,Scilla verna,,,vascular,spp,spp,,4.574417178,13.87377301,1103.256672,7,1,8,5,5,3,3,NA,Aspa,Hyac,Scilla verna,NA,NA,NA,match,,Scilla verna Huds.,Plantae|Tracheophyta|Liliopsida|Asparagales|Asparagaceae|Scilla|Scilla verna,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1169|7683|9555189|2767415,2767415,0.988
1220,0920_1867,0920  1867,0920_1867,902 1867,Vas_1867,,Scrophularia nodosa,Scrophularia nodosa,Scrophularia nodosa,,,vascular,spp,spp,,3.602690003,14.69572375,1069.353172,7,4,5,6,7,6,0,NA,Lami,Scro,Scrophularia nodosa,3,1,0,match,,Scrophularia nodosa L.,Plantae|Tracheophyta|Magnoliopsida|Lamiales|Scrophulariaceae|Scrophularia|Scrophularia nodosa,kingdom|phylum|class|order|family|genus|species,6|7707728|220|408|2390|3170861|3170886,3170886,0.988
1223,0920_1872,0920  1872,,,,,Scutellaria galericulata,,Scutellaria galericulata,,,vascular,spp,spp,forb,3.566454082,14.92364286,1055.438327,5,4,7,8,6,5,0,NA,Lami,Lami,Scutellaria galericulata,1.7,1.7,0.6,match,,Scutellaria galericulata L.,Plantae|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Scutellaria|Scutellaria galericulata,kingdom|phylum|class|order|family|genus|species,6|7707728|220|408|2497|2926730|2926759,2926759,0.988
1224,0920_1874,0920  1874,0920_1874,902 1874,Vas_1874,,Scutellaria minor,Scutellaria minor,Scutellaria minor,,,vascular,spp,spp,,4.146716259,14.93857598,1190.672303,8,2,7,9,4,2,0,NA,Lami,Lami,Scutellaria minor,0.675,0.675,2.65,match,,Scutellaria minor Huds.,Plantae|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Scutellaria|Scutellaria minor,kingdom|phylum|class|order|family|genus|species,6|7707728|220|408|2497|2926730|5341345,5341345,0.988
1225,0920_1875,0920  1875,0920_1875,902 1875,Vas_1875,,Sedum acre,Sedum acre,Sedum acre,,,vascular,spp,spp,,3.672295019,14.87968199,994.6121351,7,3,8,2,7,2,1,NA,Saxi,Cras,Sedum acre,0,1,3,match,,Sedum acre L.,Plantae|Tracheophyta|Magnoliopsida|Saxifragales|Crassulaceae|Sedum|Sedum acre,kingdom|phylum|class|order|family|genus|species,6|7707728|220|7219248|2406|5361975|5362007,5362007,0.988
1227,0920_1877,0920  1877,0920_1877,902 1877,Vas_1877,,Sedum anglicum,Sedum anglicum,Sedum anglicum,,,vascular,spp,spp,,4.083986784,14.27267254,1320.512836,7,1,8,3,4,2,1,NA,Saxi,Cras,Sedum anglicum,0,1,3,match,,Sedum anglicum Huds.,Plantae|Tracheophyta|Magnoliopsida|Saxifragales|Crassulaceae|Sedum|Sedum anglicum,kingdom|phylum|class|order|family|genus|species,6|7707728|220|7219248|2406|5361975|5687974,5687974,0.988
1234,0920_1886,0920  1886,0920_1886,902 1886,Vas_1886,,Sedum villosum,Sedum villosum,Sedum villosum,,,vascular,spp,spp,,1.60563981,12.912891,1273.164562,2,3,8,9,6,2,0,NA,Saxi,Cras,Sedum villosum,NA,NA,NA,match,,Sedum villosum L.,Plantae|Tracheophyta|Magnoliopsida|Saxifragales|Crassulaceae|Sedum|Sedum villosum,kingdom|phylum|class|order|family|genus|species,6|7707728|220|7219248|2406|5361975|5362015,5362015,0.988
